Target ID,Title,Live Site Status,QA Result,QA Issue - Content,QA Issue - Appearence,QA Issue - Functionality,Open Access,Primary URL,Other URLs
13890,Dundee City Council,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.dundeecity.gov.uk,['http://www.dundeecity.gov.uk/sitemap.xml']
13889,Clackmannanshire Council Online,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.clacks.gov.uk/,[]
14518,Children's Hearings Scotland (CHS),LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.chscotland.gov.uk,[]
72470,Argyll and Bute Council,,"QA issues, but OK to publish",False,False,False,True,http://www.argyll-bute.gov.uk/,[]
50556,Health & Care Professions Council,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.hcpc-uk.org/,[]
15981,NHS Forth Valley,LIVE,No QA issues found (OK to publish),True,False,True,True,http://nhsforthvalley.com/,['https://nhsforthvalley.com/sitemap.xml']
72345,Public Contracts Scotland,,"QA issues, but OK to publish",False,False,False,True,https://www.publiccontractsscotland.gov.uk/Default.aspx,[]
15986,NHS Lothian,LIVE,QA issues found,True,False,False,True,http://www.nhslothian.scot.nhs.uk/Pages/default.aspx,['https://www.nhslothian.scot.nhs.uk/sitemap.xml']
15889,Accountant in Bankruptcy (AiB),LIVE,"QA issues, but OK to publish",False,False,False,True,https://www.aib.gov.uk/,"['https://www.aib.gov.uk/sites/all/themes/omega/omega/css/', 'https://www.aib.gov.uk/debt-arrangement-scheme/sitemap.xml', 'https://www.aib.gov.uk/sitemap']"
14552,Skills Development Scotland,LIVE,QA issues found,False,False,False,True,http://www.skillsdevelopmentscotland.co.uk/,[]
15532,Revenue Scotland,LIVE,QA issues found,False,False,False,True,https://www.revenue.scot/,[]
3158,Scottish Natural Heritage / Dualchas Nàdair na h-Alba,LIVE,QA issues found,False,False,False,True,http://www.snh.gov.uk/,['http://www.snh.gov.uk/sitemap.xml']
3159,Scottish Parliament - Parlamaid na h-Alba,LIVE,QA issues found,False,False,False,True,http://www.scottish.parliament.uk/,[]
15896,Student Awards Agency For Scotland (SAAS),LIVE,No QA issues found (OK to publish),True,False,False,True,http://www.saas.gov.uk/,['http://www.saas.gov.uk/sitemap.xml']
11883,cameras | a co-ordinated agenda for marine environment rural affairs science,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.camerasscotland.org/,[]
18245,"Welsh Liberal Democrats, Democrataid Rhyddfrydol Cymru",LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.demrhyddcymru.cymru/,['http://www.welshlibdems.wales/']
18245,"Welsh Liberal Democrats, Democrataid Rhyddfrydol Cymru",LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.demrhyddcymru.cymru/,['http://www.welshlibdems.wales/']
1219,"View from Rural Wales, A - Glyn Davies",,QA issues found,False,False,False,True,http://glyn-davies.blogspot.co.uk/,[]
19895,Rural Payments and Services,LIVE,No QA issues found (OK to publish),False,False,False,True,https://www.ruralpayments.org/,[]
1218,Socialist Party Wales: Death of Margaret Thatcher,,No QA issues found (OK to publish),False,False,False,True,http://www.socialistpartywales.org.uk/,"['http://www.socialistparty.org.uk/articles/9735', 'http://www.socialistpartywales.org.uk/news156.shtml']"
9577,"Welsh Conservatives, Ceidwadwyr Cymreig",LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.welshconservatives.com/,[]
9578,Welsh Labour | Llafur Cymru,LIVE,QA issues found,True,False,False,True,http://www.welshlabour.org.uk/,['https://www.welshlabour.wales/']
3144,Scottish Conservatives,LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.scottishconservatives.com/,['http://www.scottishconservatives.com/sitemap.xml']
2177,Highlands and Islands Scottish Christian Party,DEAD,No QA issues found (OK to publish),False,False,False,True,http://www.highlandscp.org/,['http://www.scottishchristianparty.org.uk/about']
4903,Socialist Workers Party,LIVE,QA issues found,True,False,False,True,http://www.swp.org.uk/,[]
15890,British Influence,LIVE,QA issues found,True,False,False,True,http://www.britishinfluence.org/,"['https://view.publitas.com/british-influence/', 'http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.0/themes/cupertino/jquery-ui.css', 'http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css', 'http://www.britishinfluence.nationbuilder.org/']"
